subject,department,creditUnits,sumHours,audHours,lectureHours,seminarHours,laboratoryHours,noOfTerm,certificationForm
Математический анализ                                         ,ФН1       ,7,252,119,51,68,0,"1, 2    ",Экз
Физическая культура и спорт                                   ,ФВ        ,2,72,0,0,0,0,"1, 2    ",
История                                                       ,СГН1      ,3,108,51,17,34,0,1,Зчт
Экономическая теория                                          ,ИБМ1      ,6,216,136,68,68,0,"1, 2    ",РЭкз
Информатика                                                   ,ИУ7       ,8,288,136,17,51,68,"1, 2    ",Зчт
Линейная алгебра и аналитическая геометрия                    ,ФН1       ,7,252,85,34,51,0,"1, 2    ",Зчт
Иностранный язык                                              ,Л2        ,8,288,136,0,136,0,1 - 4     ,Зчт
Физика и естествознание                                       ,ФН4       ,9,324,153,68,34,51,"2, 3    ",Экз
Предпринимательский практикум - часть 1                       ,ИБМ7      ,2,72,34,0,0,34,2,Зчт
Экономика предприятия                                         ,ИБМ2      ,6,216,68,34,34,0,"2, 3    ",КуР
Информационные технологии                                     ,ИБМ4      ,4,144,68,0,0,68,"3, 4    ",Зчт
Теория инноваций                                              ,ИБМ6      ,3,108,51,17,34,0,3,Экз
"Метрология, стандартизация и сертификация                   ",МТ4       ,3,108,51,34,0,17,3,РЭкз
Материаловедение и химия                                      ,МТ8       ,3,108,51,17,17,17,3,Зчт
Прикладная статистика                                         ,ИБМ2      ,3,108,51,17,17,17,4,Экз
Системный анализ и принятие решений                           ,ФН1       ,4,144,68,34,34,0,4,Экз
Финансирование инновационной деятельности                     ,ИБМ5      ,3,108,51,17,34,0,5,Экз
Маркетинг в инновационной сфере                               ,ИБМ3      ,5,180,51,17,34,0,5,Экз КуР
Управление качеством                                          ,ИБМ6      ,3,108,51,34,17,0,5,Зчт
Основы проектно-конструкторской деятельности                  ,РК3       ,8,288,85,34,0,51,"5, 6    ",КуП
Безопасность жизнедеятельности                                ,Э9        ,3,108,68,34,17,17,5,Зчт
Управление человеческими ресурсами                            ,ИБМ3      ,4,144,68,34,34,0,6,Зчт
Управление инновационными проектами                           ,ИБМ2      ,3,108,51,34,0,17,6,Экз
Теория и системы управления                                   ,ИБМ6      ,3,108,51,17,34,0,6,Зчт
Философия                                                     ,СГН4      ,3,108,51,17,34,0,6,Зчт
Промышленные технологии и инновации                           ,ИБМ4      ,3,108,51,34,17,0,6,Экз
Экология                                                      ,Э9        ,2,72,34,34,0,0,7,Зчт
Логистика                                                     ,ИБМ3      ,3,108,51,34,17,0,7,Экз
Управление инновационной деятельностью                        ,ИБМ2      ,4,144,68,34,34,0,7,Экз
Правоведение                                                  ,ЮР        ,3,108,51,34,17,0,7,Зчт
Начертательная геометрия                                      ,РК1       ,3,108,51,17,34,0,1,Экз
Инженерная графика                                            ,РК1       ,4,144,68,0,51,17,"1, 2    ",ДЗчт
Введение в профессию                                          ,ИБМ5      ,2,72,34,0,34,0,1,Зчт
"Деньги, кредит, банки                                       ",ИБМ5      ,2,72,34,17,17,0,2,Зчт
Финансы организаций                                           ,ИБМ5      ,2,72,51,17,34,0,3,Зчт
Основы теории вероятностей и математической статистики        ,ФН1       ,4,144,68,34,34,0,3,Экз
Прикладная механика                                           ,ФН3       ,3,108,51,34,17,0,3,Зчт
Менеджмент                                                    ,ИБМ4      ,4,144,68,34,34,0,4,Экз
Бухгалтерский учет инновационных организаций                  ,ИБМ5      ,3,108,51,17,17,17,4,Экз
Технология конструкционных материалов                         ,МТ13      ,2,72,34,17,17,0,4,Зчт
Управление финансами наукоемких предприяий                    ,ИБМ5      ,2,72,34,17,17,0,4,Зчт
Финансово-исследовательский практикум                         ,ИБМ5      ,3,108,51,0,0,51,5 - 7     ,Зчт
Иностранный язык для профессиональных коммуникаций            ,Л2        ,4,144,68,0,68,0,"5, 6",РЭкз
Естественно-научные методы решения инновационных задач        ,ФН4       ,2,72,34,17,17,0,5,Зчт
Организация производства                                      ,ИБМ2      ,4,144,68,34,34,0,5,Экз
Финансовое законодательство                                   ,ИБМ5      ,2,72,34,17,17,0,6,Зчт
Прогнозирование и оценка стоимости предприятия                ,ИБМ5      ,3,108,51,34,0,17,7,Экз
Банковские операции                                           ,ИБМ5      ,3,108,51,34,17,0,7,Зчт
Международые стандарты финансовой отчетности                  ,ИБМ5      ,5,180,51,17,34,0,7,Экз КуР
Управление финансовыми рисками                                ,ИБМ5      ,4,144,24,12,0,12,8,Зчт КуР
Дисциплина по выбору №1                                       ,          ,0,328,0,0,0,0,1 - 6     ,Зчт
Элективный курс по физической культуре и спорту               ,ФВ        ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №2                                       ,          ,3,108,51,17,34,0,4,Зчт
Социология                                                    ,СГН2      ,           ,        ,        ,            ,            ,               ,          ,
Культурология                                                 ,СГН2      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №3                                       ,          ,3,108,51,17,17,17,4,Зчт
Основы актуариата                                             ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Страхование                                                   ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №4                                       ,          ,2,72,17,0,17,0,5,Зчт
Оптимизация налогообложения                                   ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Налоги и налоговое планирование                               ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №5                                       ,          ,3,108,68,34,34,0,6,РЭкз
Математические методы в управлении финансами                  ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Моделирование финансовых потоков                              ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №6                                       ,          ,2,72,34,17,17,0,7,Зчт
Контроль финансово-хозяйственной деятельности предприятия     ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Финансовый анализ деятельности предпрития                     ,ИБМ5      ,           ,        ,        ,            ,            ,               ,          ,
Дисциплина по выбору №7                                       ,          ,2,72,34,0,0,34,7,Зчт
