"Наименование циклов, разделов, дисциплин"                 ,Кафедра,"Ауд., час","Лек., час","Сем., час","Лаб., час",Номер семестра,Форма аттестации
Методы оптимизации                                         ,ИУ9    ,144        ,72         ,0          ,72         ,8             ,Зчт
Алгоритмы и структуры данных                               ,ИУ9    ,51         ,0          ,51         ,0          ,1             ,ДЗчт
Социология                                                 ,СГН2   ,51         ,17         ,34         ,0          ,1             ,Зчт
Компьютерные сети                                          ,ИУ9    ,68         ,34         ,0          ,34         ,3             ,Экз
Низкоуровневое программирование                            ,ИУ9    ,68         ,34         ,0          ,34         ,3             ,Экз
Алгебра                                                    ,ИУ9    ,102        ,68         ,34         ,0          ,"3, 4"        ,Экз
Дополнительные главы математического анализа               ,ФН12   ,68         ,34         ,34         ,0          ,4             ,Зчт
Политология                                                ,СГН3   ,51         ,17         ,34         ,0          ,4             ,Зчт
Алгоритмы компьютерной графики                             ,ИУ9    ,68         ,34         ,0          ,34         ,4             ,ДЗчт
Теория формальных языков                                   ,ИУ9    ,68         ,34         ,0          ,34         ,5             ,Экз
Разработка параллельных и распределенных программ          ,ИУ9    ,68         ,34         ,0          ,34         ,5             ,Зчт
Логика и теория алгоритмов                                 ,ФН12   ,68         ,51         ,17         ,0          ,5             ,Зчт
Генерация оптимального кода                                ,ИУ9    ,68         ,34         ,0          ,34         ,6             ,Зчт
Конструирование компиляторов                               ,ИУ9    ,102        ,34         ,0          ,68         ,6             ,Экз
Дифференциальные уравнения в частных производных           ,ФН12   ,85         ,51         ,34         ,0          ,6             ,Экз
Моделирование                                              ,ИУ9    ,144        ,72         ,0          ,72         ,8             ,Экз
Дисциплина по выбору №1                                    ,       ,0          ,0          ,408        ,0          ,1 - 6         ,Зчт
Элективный курс по физической культуре и спорту            ,ФВ     ,           ,           ,           ,           ,              ,
Дисциплина по выбору №2                                    ,       ,68         ,34         ,34         ,0          ,5             ,Зчт
Основы теории Галуа                                        ,ИУ9    ,           ,           ,           ,           ,              ,
Теория игр и исследование операций                         ,ИУ9    ,           ,           ,           ,           ,              ,
Дисциплина по выбору №4                                    ,       ,34         ,0          ,17         ,17         ,6             ,Зчт
Промышленное программирование на функциональных языках     ,ИУ9    ,           ,           ,           ,           ,              ,
Объектно-функциональное программирование                   ,ИУ9    ,           ,           ,           ,           ,              ,
Дисциплина по выбору №5                                    ,       ,34         ,17         ,17         ,0          ,6             ,Зчт
Основы теории колец                                        ,ИУ9    ,           ,           ,           ,           ,              ,
Современные вычислительные методы                          ,ИУ9    ,           ,           ,           ,           ,              ,
Дисциплина по выбору №7                                    ,       ,68         ,34         ,0          ,34         ,7             ,Экз
Численные методы линейной алгебры                          ,ИУ9    ,           ,           ,           ,           ,              ,
Защита информации                                          ,ИУ9    ,           ,           ,           ,           ,              ,
Дисциплина по выбору №8                                    ,       ,51         ,17         ,0          ,34         ,7             ,Зчт
Высокопроизводительные вычисления                          ,ИУ9    ,           ,           ,           ,           ,              ,
Алгоритмы биоинформатики                                   ,ИУ9    ,           ,           ,           ,           ,              ,
Дисциплина по выбору №10                                   ,       ,68         ,34         ,0          ,34         ,7             ,Экз
Защита информации от вредоносного программного обеспечения ,ИУ9    ,           ,           ,           ,           ,              ,
Разработка мобильных приложений                            ,ИУ9    ,           ,           ,           ,           ,              ,
Дисциплина по выбору №9                                    ,       ,34         ,0          ,34         ,0          ,7             ,Зчт
"Начальный курс французского (сербского, испанского) языка",Л4     ,           ,           ,           ,           ,              ,
Начальный курс немецкого языка                             ,Л4     ,           ,           ,           ,           ,              ,
Дисциплина по выбору №11                                   ,       ,24         ,0          ,24         ,0          ,8             ,Зчт
Базовый курс немецкого языка                               ,Л4     ,           ,           ,           ,           ,              ,
Базовый курс французского языка                            ,Л4     ,           ,           ,           ,           ,              ,
                                                           ,       ,           ,           ,           ,           ,              ,
